regime,feature,mean_abs_shap
accumulation,f_log_qglofas,0.8004562850590354
accumulation,q_m3s,0.12301213704032966
accumulation,f_log_qglofas_lag1,0.11128695926618318
accumulation,lc_100,0.0982122887022656
accumulation,area_km2,0.05956438033115868
accumulation,f_log_qglofas_roc,0.05540093460438287
accumulation,f_log_qglofas_rmean9,0.036819030297990836
accumulation,gsl,0.03308279468478765
accumulation,f_smlt_rsum9,0.03280269815611599
accumulation,f_scf_cold,0.03042360057011147
accumulation,t2m_mean,0.026376652343589057
accumulation,lc_30,0.02066710295990905
accumulation,f_doy_cos,0.019253299543278833
accumulation,bio4,0.017078703034232978
accumulation,f_log_qglofas_rstd9,0.016953303273133886
accumulation,f_swe_rmean3,0.01690551096815574
accumulation,hurs_range,0.01679179671106656
accumulation,q_km3a,0.016692384482676816
accumulation,f_t2m_rmean6,0.015967163236860614
accumulation,lc_80,0.01572393688996698
accumulation,f_log_qglofas_rmean3,0.015058657185687276
accumulation,smlt,0.014986987259922186
accumulation,lc_90,0.013984766967167963
accumulation,f_smlt_rsum6,0.013477277431398593
accumulation,LON,0.013477076584514747
accumulation,swe,0.013125879343629639
accumulation,bio7,0.012742322980485098
accumulation,f_t2m_rmean3,0.012638262567508461
accumulation,f_t2m_rmean9,0.012243348447752827
accumulation,f_log_qglofas_rstd6,0.012242103387010185
accumulation,q_mm,0.01166251570113367
accumulation,slope,0.01144382718823307
accumulation,f_decade_cos,0.010765896397311039
accumulation,gl_dmdt_km3a,0.010717357140011721
accumulation,f_smlt_rsum3,0.010678544338243279
accumulation,lc_70,0.010430633835564924
accumulation,f_swe_lag6,0.010404995186961781
accumulation,f_log_qglofas_lag2,0.010171603564539862
accumulation,swvl1,0.010170388102500096
accumulation,pet_cs_cgiar,0.009820237912203475
accumulation,f_doy_sin,0.009736739302631001
accumulation,f_swe_lag9,0.009401106763741151
accumulation,f_scf_ann,0.009351428752236626
accumulation,flowdir,0.00912533060905627
accumulation,f_swe_rmean9,0.00904221749702636
accumulation,pr_ann_chpclim,0.008858496716231049
accumulation,f_log_qglofas_rstd3,0.008817191713910242
accumulation,sf,0.008697262848933535
accumulation,gl_dmdtda_mma,0.008656326326022822
accumulation,lc_126,0.008240418251495758
accumulation,f_log_qglofas_rmean6,0.008027715458873378
accumulation,bio19,0.007926954706834723
accumulation,pet_penman_min,0.007215929605662579
accumulation,f_scf_amp,0.0067420861303345335
accumulation,f_swe_rmean6,0.006702168223329445
accumulation,lc_50,0.006497971222791802
accumulation,f_log_qglofas_lag3,0.006400978202825515
accumulation,tcc_min,0.005963208865219606
accumulation,f_pdd_cum,0.005897704163207153
accumulation,bio14,0.005860053122798498
accumulation,bio15,0.005833683252263512
accumulation,tp,0.005738504313539344
accumulation,h_min,0.005698119117824655
accumulation,f_swe_lag3,0.005648249759939435
accumulation,hurs_max,0.005352945577319344
accumulation,dnstr_gaug,0.0052939949806482724
accumulation,lc_113,0.005212014040099502
accumulation,aspect,0.005187075571543192
accumulation,gl_A_km2,0.005012872506922728
accumulation,LAT,0.004932235489947563
accumulation,kg2,0.004900117428206056
accumulation,gl_fr,0.004779128544912815
accumulation,lc_40,0.004725034063579191
accumulation,sfcWind_min,0.004552024196531826
accumulation,f_tas_amp,0.004342001783817554
accumulation,lc_60,0.003996688791732052
accumulation,f_decade_sin,0.003791889939016933
accumulation,tcc_mean,0.0037482111286289083
accumulation,pet_penman_mean,0.003720392755010754
accumulation,lc_116,0.003694791563715479
accumulation,sfcWind_max,0.0036808869729902864
accumulation,h_max,0.0036255144783903744
accumulation,tcc_max,0.0035893176758238585
accumulation,bio18,0.003588040883847276
accumulation,tpi,0.003566321171938095
accumulation,npp,0.003111604163223027
accumulation,lgd,0.003087484267227415
accumulation,bio8,0.002942578353015438
accumulation,ai_ann_cgiar,0.002816205189251255
accumulation,regime_id,0.002723652728243683
accumulation,f_melt_season,0.0026940358840680037
accumulation,hurs_mean,0.0026625238630046664
accumulation,h_mean,0.0025975608357276256
accumulation,tri,0.002590268991394242
accumulation,fs_ann_chelsa,0.0025789374767427203
accumulation,f_scf_melt,0.0025781230774370553
accumulation,sfcWind_mean,0.0025408329533632514
accumulation,lc_20,0.0024622011759110815
accumulation,vpd_min,0.002421479240478854
accumulation,gl_V_km3,0.002419457111554266
accumulation,scd,0.0023389260594569848
accumulation,bio2,0.0023161345597103593
accumulation,pet_penman_range,0.0023131503086836315
accumulation,pr_ann_worldclim,0.0023053308101172484
accumulation,gddlgd10,0.002265135487875986
accumulation,bio3,0.002239518147709939
accumulation,f_pr_amp,0.0021529208311001345
accumulation,gsp,0.0018651285357629594
accumulation,fcf,0.0018520469589750654
accumulation,kg0,0.001839304673000382
accumulation,pet_ann_cgiar,0.0018364582907480639
accumulation,bio6,0.0018149219352626563
accumulation,tcc_range,0.0017921144904613701
accumulation,bio1,0.0017481804177523633
accumulation,bio12,0.001690447174128293
accumulation,gddlgd0,0.0016374111619210585
accumulation,gdd5,0.0016041337989308327
accumulation,ai_ann_bio_chelsa,0.0015429423950814017
accumulation,hurs_min,0.0014948766781042587
accumulation,f_pr_melt,0.001485801121136858
accumulation,sfcWind_range,0.0014524342247643689
accumulation,lc_111,0.0014476466958673285
accumulation,gdd10,0.0014001281993536922
accumulation,f_pr_cold,0.0013925554793708802
accumulation,lc_121,0.0013398387000612907
accumulation,pet_penman_max,0.0012779325616192486
accumulation,bio17,0.0012744919229969248
accumulation,bio13,0.001080343039482414
accumulation,roughness,0.0010473908258023061
accumulation,gdgfgd10,0.0010469614696520363
accumulation,bio16,0.0010040073890443062
accumulation,bio11,0.0009024485983478095
accumulation,bio10,0.0008760973897863333
accumulation,fgd,0.0008580075427200723
accumulation,bio9,0.0008400574226450715
accumulation,lc_123,0.0008345058891113423
accumulation,kg1,0.0008262498876448434
accumulation,wi,0.0007534373294435014
accumulation,vpd_range,0.0007333803700791166
accumulation,basin_order,0.0006489494524387242
accumulation,lc_114,0.000617131436669395
accumulation,bio5,0.000594097575670275
accumulation,gdd0,0.0005892427209257371
accumulation,gst,0.0005690542456999305
accumulation,f_t2m_ft_crossings,0.0005638690020928171
accumulation,f_tas_melt,0.0005325445550904956
accumulation,gdgfgd0,0.00048610190378479783
accumulation,kg5,0.0004206960794158793
accumulation,kg4,0.0004021538979671565
accumulation,f_pr_ann,0.0003939208308792308
accumulation,ngd10,0.0003646918684816215
accumulation,f_freeze_thaw,0.0003197511116545178
accumulation,ngd5,0.0003158090459183519
accumulation,lc_115,0.000308863399123199
accumulation,kg3,0.0002236904038435046
accumulation,gdgfgd5,0.0002095364188288412
accumulation,pet_ws_cgiar,0.00017772443316578211
accumulation,vpd_max,0.000173313752718799
accumulation,lc_124,0.00016932777601273287
accumulation,f_tas_cold,0.00014817098881235119
accumulation,gddlgd5,0.00011719142334952919
accumulation,vpd_mean,0.00010507761135244254
accumulation,ngd0,4.816810783641917e-05
accumulation,f_rain_on_snow,1.4576947320942538e-06
accumulation,lc_112,0.0
accumulation,lc_122,0.0
accumulation,lc_125,0.0
accumulation,f_tas_ann,0.0
melt_freshet,f_log_qglofas,0.6742816162022321
melt_freshet,lc_100,0.1085939845542637
melt_freshet,q_m3s,0.08797373954291977
melt_freshet,f_log_qglofas_lag1,0.08265708526089813
melt_freshet,f_log_qglofas_roc,0.04114905159346831
melt_freshet,area_km2,0.04043683548936085
melt_freshet,f_scf_cold,0.03670006248320404
melt_freshet,f_log_qglofas_rmean9,0.03325128331972627
melt_freshet,f_smlt_rsum9,0.03172620336603916
melt_freshet,gsl,0.03139881653769445
melt_freshet,t2m_mean,0.02645807654453489
melt_freshet,f_doy_cos,0.020729559326829548
melt_freshet,lc_30,0.02057286484324528
melt_freshet,f_log_qglofas_rstd9,0.019375714583149625
melt_freshet,bio4,0.017628543056349325
melt_freshet,f_t2m_rmean6,0.017204288568764787
melt_freshet,f_swe_rmean3,0.017125823165378376
melt_freshet,smlt,0.0157562170973714
melt_freshet,f_t2m_rmean9,0.014757331014846775
melt_freshet,lc_80,0.013907166576351463
melt_freshet,f_log_qglofas_rstd6,0.013626143349885182
melt_freshet,f_smlt_rsum6,0.012881991151249644
melt_freshet,f_smlt_rsum3,0.012654553796383973
melt_freshet,swe,0.012582698661347482
melt_freshet,f_decade_cos,0.012341172961797747
melt_freshet,f_doy_sin,0.01173405260359575
melt_freshet,q_mm,0.01158066161117155
melt_freshet,q_km3a,0.011285119787772017
melt_freshet,f_t2m_rmean3,0.011089717118940813
melt_freshet,f_log_qglofas_rmean3,0.010745330951849173
melt_freshet,f_swe_lag6,0.010507476337724649
melt_freshet,lc_90,0.010464015423781047
melt_freshet,hurs_range,0.010429714849551634
melt_freshet,f_log_qglofas_rstd3,0.010360500705438886
melt_freshet,f_scf_ann,0.01021822172407882
melt_freshet,bio7,0.010153237305913766
melt_freshet,swvl1,0.009743684539189952
melt_freshet,gl_dmdt_km3a,0.009639761006822394
melt_freshet,f_swe_lag9,0.009614279699232913
melt_freshet,f_swe_rmean9,0.00960200763878957
melt_freshet,flowdir,0.0090727858864116
melt_freshet,pet_cs_cgiar,0.009000336110868654
melt_freshet,pr_ann_chpclim,0.008964737886862363
melt_freshet,sf,0.008868641732549361
melt_freshet,slope,0.008837085587790746
melt_freshet,f_log_qglofas_lag2,0.007942258366180737
melt_freshet,f_log_qglofas_rmean6,0.007691248412580517
melt_freshet,gl_dmdtda_mma,0.007656775224345296
melt_freshet,f_log_qglofas_lag3,0.007220791223277211
melt_freshet,pet_penman_min,0.007202375901975823
melt_freshet,lc_50,0.007159093047947128
melt_freshet,bio14,0.007152450899382567
melt_freshet,f_pdd_cum,0.006684523330169579
melt_freshet,lc_126,0.006612103377251715
melt_freshet,f_scf_amp,0.006608249681200184
melt_freshet,lc_70,0.0065042727078079695
melt_freshet,tcc_min,0.006433810127858355
melt_freshet,f_swe_rmean6,0.006116786246891525
melt_freshet,dnstr_gaug,0.006091050894135609
melt_freshet,kg2,0.0058892053641485176
melt_freshet,aspect,0.005537897838657621
melt_freshet,hurs_max,0.005470071066094857
melt_freshet,f_swe_lag3,0.005455672963829235
melt_freshet,bio15,0.005390952196783814
melt_freshet,tp,0.005318419340277843
melt_freshet,sfcWind_max,0.005222231340533813
melt_freshet,lc_113,0.005207036024980841
melt_freshet,LON,0.0050835011780585105
melt_freshet,bio19,0.004513564089202385
melt_freshet,gl_fr,0.004390905002479078
melt_freshet,h_min,0.004316721847462849
melt_freshet,sfcWind_min,0.0042623192301916345
melt_freshet,gl_A_km2,0.004257435772117526
melt_freshet,pet_penman_mean,0.0041789476044450675
melt_freshet,tcc_mean,0.0040941798874838745
melt_freshet,f_decade_sin,0.0039440086514906545
melt_freshet,tpi,0.003879290442943301
melt_freshet,bio18,0.0038705459429041254
melt_freshet,tcc_max,0.0038429630542439505
melt_freshet,f_tas_amp,0.0035988049760541365
melt_freshet,LAT,0.0035891628741137023
melt_freshet,lc_40,0.003579305660687546
melt_freshet,sfcWind_mean,0.0034752528697974865
melt_freshet,lc_116,0.0033813427174099447
melt_freshet,npp,0.0033044515238546948
melt_freshet,lgd,0.003256569618640765
melt_freshet,f_scf_melt,0.0031836118441124976
melt_freshet,hurs_mean,0.003063704299774395
melt_freshet,h_max,0.0029718652159581097
melt_freshet,lc_60,0.002814233921414698
melt_freshet,fs_ann_chelsa,0.002601538595915301
melt_freshet,ai_ann_cgiar,0.002455168008008875
melt_freshet,scd,0.002422902542947739
melt_freshet,f_pr_amp,0.0023677565759762658
melt_freshet,f_melt_season,0.0023203136916428338
melt_freshet,bio8,0.002281813629851584
melt_freshet,bio3,0.002272939486792931
melt_freshet,tri,0.002241687381185035
melt_freshet,h_mean,0.0022141137918791094
melt_freshet,regime_id,0.0021893341828822794
melt_freshet,vpd_min,0.002168650629178767
melt_freshet,gl_V_km3,0.0020951234862633616
melt_freshet,bio2,0.002086654447137342
melt_freshet,gddlgd10,0.0020801325877080534
melt_freshet,pr_ann_worldclim,0.0019548786821554326
melt_freshet,pet_penman_range,0.0019267191580072942
melt_freshet,bio1,0.0018751372612017222
melt_freshet,hurs_min,0.0018238593382074108
melt_freshet,gdd5,0.00176586835122574
melt_freshet,gsp,0.0017194907558926913
melt_freshet,bio12,0.0016832493503731933
melt_freshet,tcc_range,0.001676016394701372
melt_freshet,bio6,0.0016688235189072408
melt_freshet,fcf,0.0016654687466334235
melt_freshet,pet_ann_cgiar,0.0016287135039636442
melt_freshet,lc_20,0.0015918641389486771
melt_freshet,sfcWind_range,0.0015647779723793867
melt_freshet,gddlgd0,0.0015242422119699157
melt_freshet,lc_111,0.0014747468833715366
melt_freshet,f_pr_cold,0.0014352973503574291
melt_freshet,pet_penman_max,0.0014351990600284155
melt_freshet,f_pr_melt,0.0013987095743238501
melt_freshet,bio17,0.0013907739553122443
melt_freshet,lc_121,0.001380529210243321
melt_freshet,roughness,0.0012872386253005021
melt_freshet,gdgfgd10,0.001247849412282955
melt_freshet,kg0,0.00120796632053355
melt_freshet,lc_123,0.0012010510230288922
melt_freshet,ai_ann_bio_chelsa,0.0011346948818188273
melt_freshet,bio13,0.0010890765485234816
melt_freshet,gdd10,0.001039217669038393
melt_freshet,bio9,0.0009091255350939183
melt_freshet,bio16,0.0008720509576434753
melt_freshet,kg1,0.0008248683415539192
melt_freshet,fgd,0.0007993110007763775
melt_freshet,bio10,0.0007962448323600117
melt_freshet,vpd_range,0.0007382224962590844
melt_freshet,basin_order,0.0007197898509730873
melt_freshet,wi,0.0007037746759621171
melt_freshet,gdd0,0.000617975615226569
melt_freshet,lc_114,0.0005695661816561843
melt_freshet,gdgfgd0,0.0005647943330988752
melt_freshet,f_t2m_ft_crossings,0.0005511862880513671
melt_freshet,bio11,0.0005506734127512558
melt_freshet,f_tas_melt,0.0004662122278918379
melt_freshet,bio5,0.0004581922585959953
melt_freshet,gst,0.0004423146501866094
melt_freshet,kg5,0.00041179482167564446
melt_freshet,lc_115,0.00037185831327480776
melt_freshet,ngd10,0.000338258703765336
melt_freshet,kg4,0.0003186806805675636
melt_freshet,f_pr_ann,0.0003120576033660274
melt_freshet,gdgfgd5,0.0002679721229160379
melt_freshet,ngd5,0.0002494002039266891
melt_freshet,vpd_max,0.00022344358408887816
melt_freshet,f_freeze_thaw,0.00021859120489950643
melt_freshet,kg3,0.00019695521476734888
melt_freshet,pet_ws_cgiar,0.00019193814050447432
melt_freshet,f_tas_cold,0.00017039968140812527
melt_freshet,lc_124,0.00016095775892552752
